“ровень управлениЯ;ѓрейд;Ћписание уровнЯ должности
0 уровень управлениЯ;16;ѓлава компании - ЋсуществлЯет функции единоличного органа управлениЯ компанией, определЯет организационную структуру и систему управлениЯ, внутренние политики и текущие планы компании, цели и бюджеты направлений деЯтельности 
I уровень управлениЯ;15;„олжность предполагает управление функцией либо рЯдом функцией и разработку функциональной стратегии с горизонтом более года. Ќеобходимо глубокое понимание смежных областей (клинические исследованиЯ, регулиторика), интегрирует и координирует взаимодействие с другими функциональными подразделениЯми в компании в среднесрочной временной перспективе (год и более) и оказывает существенное влиЯние на достижение стратегических результатов. предполагает разработку долгосрочной политики в своей функциональной области. ‘тратегически важные функциональной области
I уровень управлениЯ;14;„олжность предполагает управление функцией либо рЯдом функцией и разработку функциональной стратегии с горизонтом более года. Ќеобходимо глубокое понимание смежных областей (клинические исследованиЯ, регулиторика), интегрирует и координирует взаимодействие с другими функциональными подразделениЯми в компании в среднесрочной временной перспективе (год и более) и оказывает существенное влиЯние на достижение стратегических результатов. предполагает разработку долгосрочной политики в своей функциональной области.
I уровень управлениЯ;13;„олжности данного уровнЯ, как правило, имеют непосредственное влиЯние и контролируют результаты деЯтельности крупного направлениЯ или одного из ключевых направлений деЯтельности в рамках компании.
II уровень управлениЯ;13;„олжности данного уровнЯ, как правило, имеют непосредственное влиЯние и контролируют результаты деЯтельности крупного направлениЯ или одного из ключевых направлений деЯтельности в рамках компании.
‚едущий эксперт;13;„олжности данного уровнЯ, как правило, имеют непосредственное влиЯние и контролируют результаты деЯтельности крупного направлениЯ или одного из ключевых направлений деЯтельности в рамках компании.
II уровень управлениЯ;12;ђуководит рЯдом схожих функций, интегрирует и координирует взаимодействие с другими функциональными подразделениЯми в компании в среднесрочной временной перспективе (год и более) и оказывает существенное влиЯние на достижение тактических результатов. “ровень принимаемых решений требует разработку новых или усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов, глубокое понимание бизнесс процессов компании.
‚едущий эксперт;12;ђуководит рЯдом схожих функций, интегрирует и координирует взаимодействие с другими функциональными подразделениЯми в компании в среднесрочной временной перспективе (год и более) и оказывает существенное влиЯние на достижение тактических результатов. “ровень принимаемых решений требует разработку новых или усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов, глубокое понимание бизнесс процессов компании.
II уровень управлениЯ;11;„олжность предполагает реализацию функциональной политики путем разработки и внедрениЯ конкретной операционных планов. Ќа данном уровне предполагаетсЯ операционное и тактическое управление функцией, адаптациЯ политик под потребности и реалии бизнеса. Ћбширные теоретические знаниЯ в своей сфере деЯтельности, как правило, полученные в ходе профессиональной или академической подготовки или в процессе приобретениЯ профессионального опыта. ‚ыполнение или контроль выполнениЯ относительно разнообразных функций с чЮтко определЮнным содержанием и целЯми, понимание смежных функций с целью обеспечениЯ эффективности в краткосрочной/среднесрочной перспективе. “ровень принимаемых решений требует усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов.
‚едущий эксперт;11;„олжность предполагает реализацию функциональной политики путем разработки и внедрениЯ конкретной операционных планов. Ќа данном уровне предполагаетсЯ операционное и тактическое управление функцией, адаптациЯ политик под потребности и реалии бизнеса. Ћбширные теоретические знаниЯ в своей сфере деЯтельности, как правило, полученные в ходе профессиональной или академической подготовки или в процессе приобретениЯ профессионального опыта. ‚ыполнение или контроль выполнениЯ относительно разнообразных функций с чЮтко определЮнным содержанием и целЯми, понимание смежных функций с целью обеспечениЯ эффективности в краткосрочной/среднесрочной перспективе. “ровень принимаемых решений требует усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов.
III уровень управлениЯ;11;„олжность предполагает реализацию функциональной политики путем разработки и внедрениЯ конкретной операционных планов. Ќа данном уровне предполагаетсЯ операционное и тактическое управление функцией, адаптациЯ политик под потребности и реалии бизнеса. Ћбширные теоретические знаниЯ в своей сфере деЯтельности, как правило, полученные в ходе профессиональной или академической подготовки или в процессе приобретениЯ профессионального опыта. ‚ыполнение или контроль выполнениЯ относительно разнообразных функций с чЮтко определЮнным содержанием и целЯми, понимание смежных функций с целью обеспечениЯ эффективности в краткосрочной/среднесрочной перспективе. “ровень принимаемых решений требует усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов.
IV уровень управлениЯ;11;„олжность предполагает реализацию функциональной политики путем разработки и внедрениЯ конкретной операционных планов. Ќа данном уровне предполагаетсЯ операционное и тактическое управление функцией, адаптациЯ политик под потребности и реалии бизнеса. Ћбширные теоретические знаниЯ в своей сфере деЯтельности, как правило, полученные в ходе профессиональной или академической подготовки или в процессе приобретениЯ профессионального опыта. ‚ыполнение или контроль выполнениЯ относительно разнообразных функций с чЮтко определЮнным содержанием и целЯми, понимание смежных функций с целью обеспечениЯ эффективности в краткосрочной/среднесрочной перспективе. “ровень принимаемых решений требует усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов.
ќксперт;11;„олжность предполагает реализацию функциональной политики путем разработки и внедрениЯ конкретной операционных планов. Ќа данном уровне предполагаетсЯ операционное и тактическое управление функцией, адаптациЯ политик под потребности и реалии бизнеса. Ћбширные теоретические знаниЯ в своей сфере деЯтельности, как правило, полученные в ходе профессиональной или академической подготовки или в процессе приобретениЯ профессионального опыта. ‚ыполнение или контроль выполнениЯ относительно разнообразных функций с чЮтко определЮнным содержанием и целЯми, понимание смежных функций с целью обеспечениЯ эффективности в краткосрочной/среднесрочной перспективе. “ровень принимаемых решений требует усовершенствование существующих процедур и реализацию функциональной политики в виде конкретных операционных планов.
III уровень управлениЯ;10;„олжность представлЯет собой первый уровень управлениЯ либо эксперт, отвечающий за функцию в единственном числе. „олжность может оптимизировать существующие процедуры, а также разрабатывать и предлагать к рассмотрению новые. „олжности данного уровнЯ предполагают способность оценивать отдалЮнные последствиЯ принимаемых решений и могут подразумевать способность находить новые способы разрешениЯ задач.
IV уровень управлениЯ;10;„олжность представлЯет собой первый уровень управлениЯ либо эксперт, отвечающий за функцию в единственном числе. „олжность может оптимизировать существующие процедуры, а также разрабатывать и предлагать к рассмотрению новые. „олжности данного уровнЯ предполагают способность оценивать отдалЮнные последствиЯ принимаемых решений и могут подразумевать способность находить новые способы разрешениЯ задач.
‚едущий эксперт;10;„олжность представлЯет собой первый уровень управлениЯ либо эксперт, отвечающий за функцию в единственном числе. „олжность может оптимизировать существующие процедуры, а также разрабатывать и предлагать к рассмотрению новые. „олжности данного уровнЯ предполагают способность оценивать отдалЮнные последствиЯ принимаемых решений и могут подразумевать способность находить новые способы разрешениЯ задач.
IV уровень управлениЯ;9;„ержатель должности, как правило, - ведущий эксперт какого-либо направлениЯ с обширным опытом работы, имеющий представление о том, как цели данной должности соотносЯтсЯ с деЯтельностью других сотрудников/процессов. ЏредполагаетсЯ самостоЯтельное принЯтие решений в рамках процедур, с выбором оптимальной процедуры либо их сочетаниЯ длЯ каждой рабочей ситуации. Њожет каскадировать процедуры ниже (давать рекомендации более младшим сотрудникам). „олжность полностью отвечает за какое-то направление по всем аспектам. глубокие знаниЯ узко-специальных методов и процессов, полученные в ходе приобретениЯ опыта или профессиональной подготовки. ‚ыполнение или контроль выполнениЯ взаимосвЯзанных функций с чЮтко определЮнным содержанием и целЯми, требующее пониманиЯ смежных видов деЯтельности.
ќксперт;9;„ержатель должности, как правило, - ведущий эксперт какого-либо направлениЯ с обширным опытом работы, имеющий представление о том, как цели данной должности соотносЯтсЯ с деЯтельностью других сотрудников/процессов. ЏредполагаетсЯ самостоЯтельное принЯтие решений в рамках процедур, с выбором оптимальной процедуры либо их сочетаниЯ длЯ каждой рабочей ситуации. Њожет каскадировать процедуры ниже (давать рекомендации более младшим сотрудникам). „олжность полностью отвечает за какое-то направление по всем аспектам. глубокие знаниЯ узко-специальных методов и процессов, полученные в ходе приобретениЯ опыта или профессиональной подготовки. ‚ыполнение или контроль выполнениЯ взаимосвЯзанных функций с чЮтко определЮнным содержанием и целЯми, требующее пониманиЯ смежных видов деЯтельности.
IV уровень управлениЯ;8;„олжность предполагает самостоЯтельную работу в рамках стандартных процедур с горизонтом контролЯ 1 месЯц. ЏредполагаетсЯ, что держатель должности  может найти способ решениЯ новой задачи.
‘пециалист;8;„олжность предполагает самостоЯтельную работу в рамках стандартных процедур с горизонтом контролЯ 1 месЯц. ЏредполагаетсЯ, что держатель должности  может найти способ решениЯ новой задачи.
‘пециалист;7;„олжность предполагает понимание теоретических принципов своей сферы деЯтельности и некоторый опыт работы по специальности. „ержатель должности работает самостоЯтельно в рамках стандартных процедур, периодичность контролЯ, как правило, составлЯет 1-2 недели. „ержатель должности обладает пониманием способов и методов работы в стандартных ситуациЯх, но имеет возможность обратитьсЯ за помощью в нестандартных случаЯх. 
